name,type,model,ip,ap_group,ethernet_mac,map_location,radio_mac,building_id,building_name,RoomNum,AP_Model,In_Roomb,In_Hallb,In_OpenArea,On_Celing,On_Wall,On_Desk
bryancenter-griflf-ap3802p-rc-1,AP3800P,AIR-AP3802P-B-K9,10.140.186.101,bryancenter-ag,38:0e:4d:5b:44:02,griffiththeater,00:5d:73:12:63:60,7791.0,BryanStudentCenter,griflf,ap3802p,True,False,False,True,False,False
bryancenter-griflr-ap3802i-rc-1,AP3800I,AIR-AP3802I-B-K9,10.140.186.151,bryancenter-ag,cc:16:7e:83:9d:a6,griffiththeater,00:81:c4:1e:61:c0,7791.0,BryanStudentCenter,griflr,ap3802i,True,False,False,True,False,False
bryancenter-128-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.174,bryancenter-ag,28:94:0f:d6:bf:68,Bryanctr,0c:85:25:de:f5:00,7791.0,BryanStudentCenter,128,ap3502i,True,False,False,True,False,False
bryancenter-128-ap3702e-rw-1,AP3700E,AIR-CAP3702E-A-K9,10.140.186.98,bryancenter-ag,00:c1:64:d8:51:f8,Bryancenter,00:c1:64:f2:27:40,7791.0,BryanStudentCenter,128,ap3702e,True,False,False,False,True,False
bryancenter-roof-ap1562d-rw-1,AP1562D,AIR-AP1562D-B-K9,10.140.186.108,bryancenter-ag,00:62:ec:80:90:5c,defaultlocation,2c:5a:0f:05:49:40,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-311-ap3502i-rc-2,AP3600I,AIR-CAP3602I-A-K9,10.140.186.186,bryancenter-ag,4c:4e:35:c7:2a:15,defaultlocation,70:10:5c:a0:41:40,7791.0,BryanStudentCenter,311,ap3502i,True,False,False,True,False,False
bryancenter-beyu-ap3602i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.68,bryancenter-ag,7c:ad:74:18:92:7f,bryancenter,70:10:5c:a0:3f:80,7791.0,BryanStudentCenter,beyu,ap3602i,True,False,False,True,False,False
bryancenter-002ha-ap3602i-rc-1,AP3600I,AIR-CAP3602I-A-K9,10.140.186.103,bryancenter-ag,4c:4e:35:0d:39:c6,Bryancenter,70:10:5c:a0:11:b0,7791.0,BryanStudentCenter,002ha,ap3602i,True,False,False,True,False,False
bryancenter-100-ap3502i-rc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.105,bryancenter-ag,28:94:0f:39:16:24,Bryanctr,0c:85:25:f2:08:20,7791.0,BryanStudentCenter,100,ap3502i,True,False,False,True,False,False
bryancenter-roof-ap1562d-rw-7,AP1562D,AIR-AP1562D-B-K9,10.140.186.99,bryancenter-ag,2c:33:11:0e:2a:aa,defaultlocation,a0:23:9f:b4:82:e0,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-roof-ap1562d-rw-6,AP1562D,AIR-AP1562D-B-K9,10.140.186.200,bryancenter-ag,2c:33:11:0e:2b:b2,defaultlocation,a0:23:9f:b4:93:80,7791.0,BryanStudentCenter,roof,ap1562d,True,False,False,False,True,False
bryancenter-248-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.79,bryancenter-ag,28:94:0f:01:1a:a1,Bryanctr,0c:85:25:31:db:b0,7791.0,BryanStudentCenter,248,ap3502i,False,True,False,True,False,False
bryancenter-046-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.169,bryancenter-ag,28:94:0f:c9:20:ae,Bryancenter,c4:0a:cb:24:5c:60,7791.0,BryanStudentCenter,046,ap3502i,False,True,False,True,False,False
bryancenter-208-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.162,bryancenter-ag,28:94:0f:01:27:b9,Bryanctr,0c:85:25:7e:6d:c0,7791.0,BryanStudentCenter,208,ap3502i,False,True,False,True,False,False
bryancenter-245-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.159,bryancenter-ag,28:94:0f:c9:18:57,Bryanctr,d8:24:bd:d4:f8:f0,7791.0,BryanStudentCenter,245,ap3502i,False,True,False,True,False,False
bryancenter-300-ap3502i-hc-1,AP3500I,AIR-CAP3502I-A-K9,10.140.186.63,bryancenter-ag,c4:64:13:38:e1:61,defaultlocation,c4:0a:cb:65:50:e0,7791.0,BryanStudentCenter,300,ap3502i,False,True,False,True,False,False
bryancenter-reynlds-ap3502e-rc-1,AP3500E,AIR-CAP3502E-A-K9,10.140.186.129,bryancenter-ag,2c:54:2d:8e:e6:59,BryanCtr,a4:18:75:02:b5:80,7791.0,BryanStudentCenter,reynlds,ap3502e,True,False,False,True,False,False
